Rankings	Company	Industry
1.	Berkshire Hathaway	Diversified Financials
2.	ICBC	Banking
3.	Saudi Arabian Oil Company (Saudi Aramco)	Oil & Gas Operations
4.	JPMorgan Chase	Banking
5.	China Construction Bank	Banking
6.	Amazon	Retail and Wholesale
7.	Apple	Retail and Wholesale
8.	Agricultural Bank of China	Banking
9.	Bank of America	Banking
10.	Toyota Motor	Automotive (Automotive and Suppliers)
11.	Alphabet	IT, Internet, Software & Services
12.	Microsoft	IT, Internet, Software & Services
13.	Bank of China	Banking
14.	Samsung Group	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
15.	ExxonMobil	Oil & Gas Operations
16.	Shell	Construction, Oil & Gas Operations, Mining and Chemicals
17.	Ping An Insurance Group	Insurance
18.	Wells Fargo	Banking
19.	Verizon Communications	Telecommunications Services, Cable Supplier
20.	AT&T	Telecommunications Services, Cable Supplier
21.	PetroChina	Oil & Gas Operations
22.	UnitedHealth Group	Insurance
23.	Walmart	Retailing
24.	China Merchants Bank	Banking
25.	Volkswagen Group	Consumer Durables
26.	Chevron	Construction, Oil & Gas Operations, Mining and Chemicals
27.	Citigroup	Banking
28.	Tencent Holdings	IT Software & Services
29.	Total	Oil & Gas Operations
30.	Postal Savings Bank Of China (PSBC)	Banking
31.	China Mobile	Telecommunications Services
32.	Comcast	Media & Advertising
33.	Alibaba Group	Retailing
34.	Meta Platforms	IT, Internet, Software & Services
35.	Allianz	Insurance
36.	Morgan Stanley	Banking and Financial Services
37.	Goldman Sachs Group	Diversified Financials
38.	HSBC Holdings	Banking
39.	BNP Paribas	Banking
40.	Johnson & Johnson	Drugs & Biotechnology
41.	Mercedes-Benz Group	Consumer Durables
42.	CVS Health	Retailing
43.	Pfizer	Drugs & Biotechnology 
44.	Softbank	Telecommunications Services
45.	Sinopec	Oil & Gas Operations
46.	RBC	Banking and Financial Services
47.	Nestlé	Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)
48.	AXA Group	Insurance
49.	Gazprom	Oil & Gas Operations
50.	BP	Oil & Gas Operations
51.	Intel	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
52.	TD Bank Group	Banking and Financial Services
53.	Nippon Telegraph & Tel	Telecommunications Services
54.	Reliance Industries	Oil & Gas Operations
55.	Industrial Bank 	Banking
56.	Sony	Consumer Durables
57.	Santander	Banking and Financial Services
58.	Mitsubishi UFJ Financial	Banking
58.	Taiwan Semiconductor	Semiconductors
60.	Ford Motor	Automotive (Automotive and Suppliers)
61.	LVMH Moët Hennessy Louis Vuitton	Clothing, Shoes, Sports Equipment
62.	Bank of Communications	Banking
63.	Procter & Gamble	Packaged Goods
64.	BMW Group	Automotive (Automotive and Suppliers)
65.	Petrobras	Oil & Gas Operations
66.	Deutsche Telekom	Telecommunications Services, Cable Supplier
67.	AbbVie	Drugs & Biotechnology
68.	Novartis	Drugs & Biotechnology
69.	General Motors	Automotive (Automotive and Suppliers)
70.	Equinor	Oil & Gas Operations
71.	China Life Insurance	Insurance
72.	Roche Holding	Drugs & Biotechnology
73.	AIA Group	Insurance
74.	MetLife	Insurance
75.	BHP Group	Construction, Oil & Gas Operations, Mining and Chemicals
76.	The Home Depot	Retail and Wholesale
77.	American Express	1850
77.	Siemens	Engineering, Manufacturing
79.	Stellantis	Consumer Durables
79.	Zurich Insurance Group	Insurance
81.	Rosneft	Oil & Gas Operations
82.	Rio Tinto	Construction, Oil & Gas Operations, Mining and Chemicals
83.	Brookfield Asset Management	Banking and Financial Services
84.	Cigna	Insurance
85.	Prudential Financial	Banking and Financial Services
86.	PepsiCo	Food, Drink & Tobacco
87.	Merck & Co.	Drugs & Biotechnology
88.	Elevance Health	Drugs & Biotechnology
89.	Bank of Nova Scotia	Banking
90.	American International Group	Insurance
91.	Glencore International	Materials
92.	Cisco Systems	IT, Internet, Software & Services
93.	Anheuser-Busch InBev	Food, Soft Beverages, Alcohol & Tobacco
94.	Walt Disney	Media & Advertising
95.	Chubb	Insurance
95.	CITIC	Trading Companies
95.	Lloyds Banking Group	Banking
98.	IBM	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
99.	Sanofi 	Drugs & Biotechnology 
100.	United Parcel Service	Transportation and Logistics
101.	British American Tobacco	Food, Drink & Tobacco
101.	UBS	Banking
103.	Honda Motor	Automotive (Automotive and Suppliers)
104.	Mitsubishi	Trading Companies
105.	China State Construction Engineering	Construction
105.	State Bank of India	Banking
107.	Commonwealth Bank	Banking
108.	Shanghai Pudong Development	Banking
109.	Raytheon Technologies	Aerospace & Defense
110.	Enel	Utilities
111.	Eni	Oil & Gas Operations
112.	Capital One	Banking
113.	Bristol Myers Squibb	Drugs & Biotechnology
114.	Coca-Cola	Food, Soft Beverages, Alcohol & Tobacco
115.	Oracle	IT, Internet, Software & Services
116.	Sberbank	Banking
117.	Bank of Montreal	Banking and Financial Services
118.	Vale	Construction, Oil & Gas Operations, Mining and Chemicals
119.	EDF 	Utilities
120.	Thermo Fisher Scientific	Drugs & Biotechnology
121.	Credit Agricole	Banking and Financial Services
122.	AIRBUS	Engineering, Manufacturing
123.	Costco Wholesale	Retail and Wholesale
124.	Hon Hai Precision 	Technology Hardware & Equipment
125.	Unilever	Packaged Goods
126.	Charter Communications	Media
127.	Sumitomo Mitsui Financial	Banking
128.	ConocoPhillips	Construction, Oil & Gas Operations, Mining and Chemicals
129.	GlaxoSmithKline	Drugs & Biotechnology 
130.	Intesa Sanpaolo	Banking
131.	Manulife	Banking and Financial Services
132.	US Bancorp	Banking
133.	BASF	Chemicals
134.	CNOOC	Oil & Gas Operations
135.	Abbott Laboratories	Drugs & Biotechnology 
136.	Iberdrola	Utilities
137.	China Shenhua Energy	Materials
138.	Itaú Unibanco Holding	Banking
139.	Caterpillar	Engineering, Manufacturing
140.	Mitsui	Trading Companies
141.	Itochu	Trading Companies
142.	Charles Schwab	Banking and Financial Services
143.	Truist Financial	Banking
144.	Enbridge	Utilities
145.	Hitachi	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
146.	KDDI	Telecommunications Services
147.	Hyundai Motor	Consumer Durables
148.	China Citic Bank	Banking
148.	Visa	1958
150.	Target	Retail and Wholesale
151.	BBVA-Banco Bilbao Vizcaya	Banking
151.	tesla	Automotive (Automotive and Suppliers)
153.	Deere & Company	Engineering, Manufacturing
154.	HDFC Bank	Banking
155.	Barclays	Banking and Financial Services
156.	Munich Re	Banking and Financial Services
157.	Japan Post Holdings	Insurance
158.	Walgreens	Retail and Wholesale
159.	Danaher	Engineering, Manufacturing
160.	Generali Group	Insurance
161.	Møller-Maersk	Transportation
162.	Lowe's	Retail and Wholesale
163.	FedEx	Transportation and Logistics
164.	Deutsche Post	Transportation
165.	PNC Financial Services	Banking
166.	Broadcom	Semiconductors
167.	LukOil	Oil & Gas Operations
167.	Medtronic	Health Care Equipment & Services
169.	SAP	IT, Internet, Software & Services
170.	SK Hynix	Semiconductors
171.	ENGIE 	Oil & Gas Operations
172.	Lockheed Martin	Aerospace & Defense
173.	BlackRock	Diversified Financials
174.	Westpac Banking Group	Banking
175.	Duke Energy	Utilities
176.	Dell Technologies	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
177.	VINCI	Construction, Oil & Gas Operations, Mining and Chemicals
178.	Tokio Marine Holdings	Insurance
179.	América Móvil	Telecommunications Services, Cable Supplier
180.	E.ON	Utilities
181.	Anglo American	Materials
182.	Banco Bradesco	Banking
183.	ING Group	Diversified Financials
184.	Accenture	Professional Services
185.	Honeywell International	Engineering, Manufacturing
186.	Mizuho Financial	Banking
187.	Linde	Chemicals
188.	ArcelorMittal	Materials
189.	Canadian Imperial Bank	Banking
190.	Poly Developments & Holdings Group	Construction
191.	Micron Technology	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
192.	ANZ	Banking and Financial Services
193.	Fubon Financial	Insurance
194.	China Telecom	Telecommunications Services
195.	HCA Healthcare	Health Care Equipment & Services
196.	Dow	Construction, Oil & Gas Operations, Mining and Chemicals
196.	Telefónica	Telecommunications Services
198.	China Vanke	Construction
199.	NAB - National Australia Bank	Banking
200.	Cathay Financial	Insurance
201.	Qualcomm	Semiconductors
202.	L'Oréal	Packaged Goods
203.	Allstate	Insurance
204.	SAIC Motor	Consumer Durables
205.	ICICI Bank	Banking
206.	China Everbright Bank	Banking
207.	Gilead Sciences	Drugs & Biotechnology
208.	China Pacific Insurance	Insurance
209.	NVIDIA	Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment
210.	Amgen	Drugs & Biotechnology
211.	Union Pacific	Transportation
